enrollment_id,student_id,course_id,unit_code,semester,year_level,class_level,grade,gpa,credits,status
ENR_000037,100007,BIT101,BIT101,Spring 2026,1,BSCM1.1,67.3,2.69,4,Enrolled
ENR_000038,100007,BUS101,BUS101,Spring 2026,1,BSCM1.1,68.4,2.74,3,Enrolled
ENR_000039,100007,BIT104,BIT104,Spring 2026,1,BSCM1.1,91.5,3.66,3,Enrolled
ENR_000040,100007,BIT103,BIT103,Spring 2026,1,BSCM1.1,86.9,3.48,3,Enrolled
ENR_000041,100008,BIT313,BIT313,Spring 2026,3,BFS3.2,84.1,3.36,3,Enrolled
ENR_000042,100008,BUS301,BUS301,Spring 2026,3,BFS3.2,92.9,3.71,3,Enrolled
ENR_000043,100008,BIT311,BIT311,Spring 2026,3,BFS3.2,79.7,3.19,3,Enrolled
ENR_000044,100008,FIN302,FIN302,Spring 2026,3,BFS3.2,59.3,2.37,3,Enrolled
ENR_000045,100008,ACC302,ACC302,Spring 2026,3,BFS3.2,89.4,3.58,4,Enrolled
ENR_000046,100009,BUS101,BUS101,Spring 2026,1,BCOM1.1,72.4,2.9,3,Enrolled
ENR_000047,100009,COM101,COM101,Spring 2026,1,BCOM1.1,46.1,1.84,3,Enrolled
ENR_000048,100009,BIT104,BIT104,Spring 2026,1,BCOM1.1,85.5,3.42,3,Enrolled
ENR_000049,100009,LAW102,LAW102,Spring 2026,1,BCOM1.1,75.4,3.02,3,Enrolled
ENR_000050,100009,MAT111,MAT111,Spring 2026,1,BCOM1.1,48.4,1.94,3,Enrolled
ENR_000051,100009,MGT101,MGT101,Spring 2026,1,BCOM1.1,83.2,3.33,3,Enrolled
ENR_000052,100009,BIT101,BIT101,Spring 2026,1,BCOM1.1,66.2,2.65,4,Enrolled
ENR_000053,100010,FIN202,FIN202,Spring 2026,2,BFS2.2,45.9,1.84,4,Enrolled
ENR_000054,100010,BIT211,BIT211,Spring 2026,2,BFS2.2,40.6,1.62,4,Enrolled
ENR_000055,100010,MKT202,MKT202,Spring 2026,2,BFS2.2,88.6,3.54,3,Enrolled
ENR_000056,100010,BIT212,BIT212,Spring 2026,2,BFS2.2,86.1,3.45,4,Enrolled
ENR_000057,100010,BUS202,BUS202,Spring 2026,2,BFS2.2,71.3,2.85,3,Enrolled
ENR_000058,100010,BIT214,BIT214,Spring 2026,2,BFS2.2,32.0,1.28,3,Enrolled
ENR_000059,100010,ENT201,ENT201,Spring 2026,2,BFS2.2,37.4,1.5,3,Enrolled
ENR_000060,100011,COM101,COM101,Spring 2026,1,BCOM1.1,76.3,3.05,3,Enrolled
ENR_000061,100011,STA101,STA101,Spring 2026,1,BCOM1.1,67.7,2.71,4,Enrolled
ENR_000062,100011,BIT103,BIT103,Spring 2026,1,BCOM1.1,70.4,2.82,3,Enrolled
ENR_000063,100011,MAT101,MAT101,Spring 2026,1,BCOM1.1,83.7,3.35,4,Enrolled
ENR_000064,100011,COM111,COM111,Spring 2026,1,BCOM1.1,81.9,3.28,3,Enrolled
ENR_000065,100011,ACC101,ACC101,Spring 2026,1,BCOM1.1,78.6,3.15,4,Enrolled
ENR_000066,100011,LAW102,LAW102,Spring 2026,1,BCOM1.1,91.7,3.67,3,Enrolled
ENR_000067,100012,BIT213,BIT213,Spring 2026,2,BCOM2.2,78.1,3.12,3,Enrolled
ENR_000068,100012,BUS202,BUS202,Spring 2026,2,BCOM2.2,93.5,3.74,3,Enrolled
ENR_000069,100012,BIT214,BIT214,Spring 2026,2,BCOM2.2,76.6,3.06,3,Enrolled
ENR_000070,100012,MKT202,MKT202,Spring 2026,2,BCOM2.2,89.1,3.56,3,Enrolled
ENR_000071,100012,ENT201,ENT201,Spring 2026,2,BCOM2.2,89.2,3.57,3,Enrolled
ENR_000072,100012,BIT212,BIT212,Spring 2026,2,BCOM2.2,76.3,3.05,4,Enrolled
ENR_000073,100013,BIT412,BIT412,Spring 2026,4,BSCM4.2,71.2,2.85,3,Enrolled
ENR_000074,100013,BUS412,BUS412,Spring 2026,4,BSCM4.2,46.5,1.86,4,Enrolled
ENR_000075,100013,MKT401,MKT401,Spring 2026,4,BSCM4.2,91.9,3.68,3,Enrolled
ENR_000076,100013,BIT411,BIT411,Spring 2026,4,BSCM4.2,72.5,2.9,4,Enrolled
ENR_000077,100014,BUS201,BUS201,Spring 2026,2,BCOM2.1,80.8,3.23,3,Enrolled
ENR_000078,100014,HRM201,HRM201,Spring 2026,2,BCOM2.1,87.8,3.51,3,Enrolled
ENR_000079,100014,ACC201,ACC201,Spring 2026,2,BCOM2.1,75.8,3.03,4,Enrolled
ENR_000080,100014,MKT201,MKT201,Spring 2026,2,BCOM2.1,65.7,2.63,3,Enrolled
ENR_000081,100014,FIN201,FIN201,Spring 2026,2,BCOM2.1,83.6,3.34,4,Enrolled
ENR_000082,100014,OMG201,OMG201,Spring 2026,2,BCOM2.1,77.4,3.1,3,Enrolled
ENR_000083,100015,MKT301,MKT301,Spring 2026,3,BFS3.1,66.9,2.68,3,Enrolled
ENR_000084,100015,ACC301,ACC301,Spring 2026,3,BFS3.1,78.3,3.13,4,Enrolled
ENR_000085,100015,MGT301,MGT301,Spring 2026,3,BFS3.1,87.3,3.49,3,Enrolled
ENR_000086,100015,SCM301,SCM301,Spring 2026,3,BFS3.1,84.0,3.36,3,Enrolled
ENR_000087,100015,FIN301,FIN301,Spring 2026,3,BFS3.1,82.6,3.3,3,Enrolled
ENR_000088,100016,BIT214,BIT214,Spring 2026,2,BSCM2.2,88.8,3.55,3,Enrolled
ENR_000089,100016,ACC202,ACC202,Spring 2026,2,BSCM2.2,79.6,3.18,4,Enrolled
ENR_000090,100016,BIT211,BIT211,Spring 2026,2,BSCM2.2,65.8,2.63,4,Enrolled
ENR_000091,100016,ENT201,ENT201,Spring 2026,2,BSCM2.2,84.7,3.39,3,Enrolled
ENR_000092,100016,BUS202,BUS202,Spring 2026,2,BSCM2.2,76.0,3.04,3,Enrolled
ENR_000093,100016,MKT202,MKT202,Spring 2026,2,BSCM2.2,71.4,2.85,3,Enrolled
ENR_000094,100016,BIT213,BIT213,Spring 2026,2,BSCM2.2,53.3,2.13,3,Enrolled
ENR_000095,100017,MKT301,MKT301,Spring 2026,3,BSCM3.1,91.3,3.65,3,Enrolled
ENR_000096,100017,FIN301,FIN301,Spring 2026,3,BSCM3.1,65.6,2.62,3,Enrolled
ENR_000097,100017,ACC301,ACC301,Spring 2026,3,BSCM3.1,93.8,3.75,4,Enrolled
ENR_000098,100017,SCM301,SCM301,Spring 2026,3,BSCM3.1,94.7,3.79,3,Enrolled
ENR_000099,100017,MGT301,MGT301,Spring 2026,3,BSCM3.1,83.1,3.33,3,Enrolled
ENR_000100,100018,BIT312,BIT312,Spring 2026,3,BCOM3.2,89.0,3.56,4,Enrolled
ENR_000101,100018,FIN302,FIN302,Spring 2026,3,BCOM3.2,80.9,3.23,3,Enrolled
ENR_000102,100018,BUS301,BUS301,Spring 2026,3,BCOM3.2,66.2,2.65,3,Enrolled
ENR_000103,100018,MKT302,MKT302,Spring 2026,3,BCOM3.2,75.6,3.02,3,Enrolled
ENR_000104,100018,BIT313,BIT313,Spring 2026,3,BCOM3.2,85.5,3.42,3,Enrolled
ENR_000105,100019,MAT111,MAT111,Spring 2026,1,BCOM1.1,59.9,2.4,3,Enrolled
ENR_000106,100019,ACC101,ACC101,Spring 2026,1,BCOM1.1,57.0,2.28,4,Enrolled
ENR_000107,100019,BUS101,BUS101,Spring 2026,1,BCOM1.1,32.9,1.31,3,Enrolled
ENR_000108,100019,COM111,COM111,Spring 2026,1,BCOM1.1,88.7,3.55,3,Enrolled
ENR_000109,100019,MGT101,MGT101,Spring 2026,1,BCOM1.1,93.8,3.75,3,Enrolled
ENR_000110,100019,ECO101,ECO101,Spring 2026,1,BCOM1.1,85.8,3.43,3,Enrolled
ENR_000111,100020,MKT202,MKT202,Spring 2026,2,BFS2.2,81.5,3.26,3,Enrolled
ENR_000112,100020,ENT201,ENT201,Spring 2026,2,BFS2.2,84.3,3.37,3,Enrolled
ENR_000113,100020,BIT215,BIT215,Spring 2026,2,BFS2.2,86.9,3.47,3,Enrolled
ENR_000114,100020,BIT212,BIT212,Spring 2026,2,BFS2.2,89.5,3.58,4,Enrolled
ENR_000115,100020,ACC202,ACC202,Spring 2026,2,BFS2.2,90.8,3.63,4,Enrolled
ENR_000116,100020,BIT211,BIT211,Spring 2026,2,BFS2.2,94.0,3.76,4,Enrolled
ENR_000117,100021,BIT212,BIT212,Spring 2026,2,BFS2.2,47.0,1.88,4,Enrolled
ENR_000118,100021,ENT201,ENT201,Spring 2026,2,BFS2.2,87.7,3.51,3,Enrolled
ENR_000119,100021,MKT202,MKT202,Spring 2026,2,BFS2.2,85.8,3.43,3,Enrolled
ENR_000120,100021,BIT211,BIT211,Spring 2026,2,BFS2.2,66.9,2.68,4,Enrolled
ENR_000121,100021,BIT213,BIT213,Spring 2026,2,BFS2.2,83.8,3.35,3,Enrolled
ENR_000122,100021,BIT214,BIT214,Spring 2026,2,BFS2.2,70.6,2.82,3,Enrolled
ENR_000123,100021,ACC202,ACC202,Spring 2026,2,BFS2.2,88.6,3.54,4,Enrolled
ENR_000124,100022,BUS201,BUS201,Spring 2026,2,BCOM2.1,80.2,3.21,3,Enrolled
ENR_000125,100022,HRM201,HRM201,Spring 2026,2,BCOM2.1,71.4,2.86,3,Enrolled
ENR_000126,100022,FIN201,FIN201,Spring 2026,2,BCOM2.1,72.1,2.89,4,Enrolled
ENR_000127,100022,ACC201,ACC201,Spring 2026,2,BCOM2.1,84.7,3.39,4,Enrolled
ENR_000128,100022,MKT201,MKT201,Spring 2026,2,BCOM2.1,91.7,3.67,3,Enrolled
ENR_000129,100022,OMG201,OMG201,Spring 2026,2,BCOM2.1,66.4,2.66,3,Enrolled
ENR_000130,100023,PSY101,PSY101,Spring 2026,1,BSCM1.1,81.1,3.25,3,Enrolled
ENR_000131,100023,BIT105,BIT105,Spring 2026,1,BSCM1.1,89.6,3.58,3,Enrolled
ENR_000132,100023,LAW101,LAW101,Spring 2026,1,BSCM1.1,30.4,1.21,3,Enrolled
ENR_000133,100023,COM101,COM101,Spring 2026,1,BSCM1.1,70.0,2.8,3,Enrolled
ENR_000134,100023,BIT104,BIT104,Spring 2026,1,BSCM1.1,93.5,3.74,3,Enrolled
ENR_000135,100023,MGT101,MGT101,Spring 2026,1,BSCM1.1,82.1,3.28,3,Enrolled
ENR_000136,100023,BIT103,BIT103,Spring 2026,1,BSCM1.1,73.9,2.96,3,Enrolled
ENR_000137,100024,FIN202,FIN202,Spring 2026,2,BSCM2.2,86.8,3.47,4,Enrolled
ENR_000138,100024,BIT215,BIT215,Spring 2026,2,BSCM2.2,91.9,3.68,3,Enrolled
ENR_000139,100024,BIT214,BIT214,Spring 2026,2,BSCM2.2,63.8,2.55,3,Enrolled
ENR_000140,100024,BIT212,BIT212,Spring 2026,2,BSCM2.2,78.7,3.15,4,Enrolled
ENR_000141,100024,MKT202,MKT202,Spring 2026,2,BSCM2.2,85.5,3.42,3,Enrolled
ENR_000142,100024,ENT201,ENT201,Spring 2026,2,BSCM2.2,58.0,2.32,3,Enrolled
ENR_000143,100025,BIT214,BIT214,Spring 2026,2,BSCM2.2,38.6,1.55,3,Enrolled
ENR_000144,100025,BUS202,BUS202,Spring 2026,2,BSCM2.2,84.7,3.39,3,Enrolled
ENR_000145,100025,MKT202,MKT202,Spring 2026,2,BSCM2.2,78.3,3.13,3,Enrolled
ENR_000146,100025,ENT201,ENT201,Spring 2026,2,BSCM2.2,75.4,3.02,3,Enrolled
ENR_000147,100025,ACC202,ACC202,Spring 2026,2,BSCM2.2,35.1,1.41,4,Enrolled
ENR_000148,100025,BIT212,BIT212,Spring 2026,2,BSCM2.2,38.2,1.53,4,Enrolled
ENR_000149,100026,MKT401,MKT401,Spring 2026,4,BSCM4.2,86.9,3.48,3,Enrolled
ENR_000150,100026,BUS412,BUS412,Spring 2026,4,BSCM4.2,82.4,3.3,4,Enrolled
ENR_000151,100026,BIT412,BIT412,Spring 2026,4,BSCM4.2,92.6,3.7,3,Enrolled
ENR_000152,100026,BIT411,BIT411,Spring 2026,4,BSCM4.2,57.0,2.28,4,Enrolled
ENR_000153,100027,MAT112,MAT112,Spring 2026,1,BCOM1.2,82.1,3.28,3,Enrolled
ENR_000154,100027,BUS102,BUS102,Spring 2026,1,BCOM1.2,86.6,3.47,3,Enrolled
ENR_000155,100027,LAW111,LAW111,Spring 2026,1,BCOM1.2,87.7,3.51,3,Enrolled
ENR_000156,100027,ECO102,ECO102,Spring 2026,1,BCOM1.2,85.0,3.4,3,Enrolled
ENR_000157,100027,ACC102,ACC102,Spring 2026,1,BCOM1.2,81.8,3.27,4,Enrolled
ENR_000158,100027,COM112,COM112,Spring 2026,1,BCOM1.2,85.7,3.43,3,Enrolled
ENR_000159,100028,ACC202,ACC202,Spring 2026,2,BFS2.2,30.7,1.23,4,Enrolled
ENR_000160,100028,BIT213,BIT213,Spring 2026,2,BFS2.2,56.3,2.25,3,Enrolled
ENR_000161,100028,BIT211,BIT211,Spring 2026,2,BFS2.2,84.4,3.38,4,Enrolled
ENR_000162,100028,ENT201,ENT201,Spring 2026,2,BFS2.2,91.1,3.64,3,Enrolled
ENR_000163,100028,BIT212,BIT212,Spring 2026,2,BFS2.2,39.8,1.59,4,Enrolled
ENR_000164,100028,BIT214,BIT214,Spring 2026,2,BFS2.2,61.2,2.45,3,Enrolled
ENR_000165,100029,COM111,COM111,Spring 2026,1,BCOM1.1,59.1,2.36,3,Enrolled
ENR_000166,100029,MGT101,MGT101,Spring 2026,1,BCOM1.1,91.1,3.64,3,Enrolled
ENR_000167,100029,COM101,COM101,Spring 2026,1,BCOM1.1,32.3,1.29,3,Enrolled
ENR_000168,100029,BIT106,BIT106,Spring 2026,1,BCOM1.1,93.4,3.74,3,Enrolled
ENR_000169,100029,BIT105,BIT105,Spring 2026,1,BCOM1.1,75.8,3.03,3,Enrolled
ENR_000170,100029,ECO101,ECO101,Spring 2026,1,BCOM1.1,82.5,3.3,3,Enrolled
ENR_000171,100029,MAT111,MAT111,Spring 2026,1,BCOM1.1,66.7,2.67,3,Enrolled
ENR_000172,100030,BIT211,BIT211,Spring 2026,2,BFS2.2,78.7,3.15,4,Enrolled
ENR_000173,100030,FIN202,FIN202,Spring 2026,2,BFS2.2,93.3,3.73,4,Enrolled
ENR_000174,100030,BIT213,BIT213,Spring 2026,2,BFS2.2,63.6,2.54,3,Enrolled
ENR_000175,100030,BIT212,BIT212,Spring 2026,2,BFS2.2,68.3,2.73,4,Enrolled
ENR_000176,100030,MKT202,MKT202,Spring 2026,2,BFS2.2,81.1,3.25,3,Enrolled
ENR_000177,100030,ENT201,ENT201,Spring 2026,2,BFS2.2,60.7,2.43,3,Enrolled
ENR_000178,100031,BIT411,BIT411,Spring 2026,4,BFS4.2,70.3,2.81,4,Enrolled
ENR_000179,100031,MKT401,MKT401,Spring 2026,4,BFS4.2,49.0,1.96,3,Enrolled
ENR_000180,100031,BIT412,BIT412,Spring 2026,4,BFS4.2,64.9,2.6,3,Enrolled
ENR_000181,100031,BUS412,BUS412,Spring 2026,4,BFS4.2,87.2,3.49,4,Enrolled
ENR_000182,100032,MAT102,MAT102,Spring 2026,1,BCOM1.2,90.3,3.61,4,Enrolled
ENR_000183,100032,BIT115,BIT115,Spring 2026,1,BCOM1.2,59.0,2.36,3,Enrolled
ENR_000184,100032,ACC102,ACC102,Spring 2026,1,BCOM1.2,66.2,2.65,4,Enrolled
ENR_000185,100032,LAW111,LAW111,Spring 2026,1,BCOM1.2,31.8,1.27,3,Enrolled
ENR_000186,100032,COM112,COM112,Spring 2026,1,BCOM1.2,72.2,2.89,3,Enrolled
ENR_000187,100032,BIT112,BIT112,Spring 2026,1,BCOM1.2,86.0,3.44,4,Enrolled
ENR_000188,100032,MAT112,MAT112,Spring 2026,1,BCOM1.2,86.4,3.46,3,Enrolled
ENR_000189,100033,BIT105,BIT105,Spring 2026,1,BCOM1.1,32.7,1.31,3,Enrolled
ENR_000190,100033,MAT111,MAT111,Spring 2026,1,BCOM1.1,74.4,2.98,3,Enrolled
ENR_000191,100033,PSY101,PSY101,Spring 2026,1,BCOM1.1,41.0,1.64,3,Enrolled
ENR_000192,100033,LAW101,LAW101,Spring 2026,1,BCOM1.1,77.5,3.1,3,Enrolled
ENR_000193,100033,BUS101,BUS101,Spring 2026,1,BCOM1.1,91.7,3.67,3,Enrolled
ENR_000194,100033,BIT106,BIT106,Spring 2026,1,BCOM1.1,78.0,3.12,3,Enrolled
ENR_000195,100033,BIT103,BIT103,Spring 2026,1,BCOM1.1,90.9,3.64,3,Enrolled
ENR_000196,100034,ACC101,ACC101,Spring 2026,1,BCOM1.1,40.0,1.6,4,Enrolled
ENR_000197,100034,MGT101,MGT101,Spring 2026,1,BCOM1.1,31.5,1.26,3,Enrolled
ENR_000198,100034,BIT101,BIT101,Spring 2026,1,BCOM1.1,79.8,3.19,4,Enrolled
ENR_000199,100034,COM101,COM101,Spring 2026,1,BCOM1.1,56.8,2.27,3,Enrolled
ENR_000200,100034,ECO101,ECO101,Spring 2026,1,BCOM1.1,39.0,1.56,3,Enrolled
ENR_000201,100034,MAT101,MAT101,Spring 2026,1,BCOM1.1,76.5,3.06,4,Enrolled
ENR_000202,100034,BUS101,BUS101,Spring 2026,1,BCOM1.1,81.6,3.26,3,Enrolled
ENR_000203,100035,BIT313,BIT313,Spring 2026,3,BFS3.2,51.0,2.04,3,Enrolled
ENR_000204,100035,BIT311,BIT311,Spring 2026,3,BFS3.2,72.3,2.89,3,Enrolled
ENR_000205,100035,BIT312,BIT312,Spring 2026,3,BFS3.2,60.5,2.42,4,Enrolled
ENR_000206,100035,BUS301,BUS301,Spring 2026,3,BFS3.2,48.8,1.95,3,Enrolled
ENR_000207,100035,BIT314,BIT314,Spring 2026,3,BFS3.2,47.2,1.89,3,Enrolled
ENR_000208,100036,BIT412,BIT412,Spring 2026,4,BSCM4.2,69.9,2.8,3,Enrolled
ENR_000209,100036,MKT401,MKT401,Spring 2026,4,BSCM4.2,85.1,3.4,3,Enrolled
ENR_000210,100036,BUS412,BUS412,Spring 2026,4,BSCM4.2,74.0,2.96,4,Enrolled
ENR_000211,100036,BIT411,BIT411,Spring 2026,4,BSCM4.2,52.2,2.09,4,Enrolled
ENR_000212,100037,LAW101,LAW101,Spring 2026,1,BFS1.1,88.7,3.55,3,Enrolled
ENR_000213,100037,BUS101,BUS101,Spring 2026,1,BFS1.1,81.5,3.26,3,Enrolled
ENR_000214,100037,BIT105,BIT105,Spring 2026,1,BFS1.1,78.4,3.13,3,Enrolled
ENR_000215,100037,MAT101,MAT101,Spring 2026,1,BFS1.1,84.8,3.39,4,Enrolled
ENR_000216,100037,BIT101,BIT101,Spring 2026,1,BFS1.1,55.6,2.22,4,Enrolled
ENR_000217,100037,MAT111,MAT111,Spring 2026,1,BFS1.1,74.6,2.98,3,Enrolled
ENR_000218,100037,LAW102,LAW102,Spring 2026,1,BFS1.1,85.1,3.41,3,Enrolled
ENR_000219,100039,BIT116,BIT116,Spring 2026,1,BCOM1.2,69.0,2.76,3,Enrolled
ENR_000220,100039,BIT112,BIT112,Spring 2026,1,BCOM1.2,87.6,3.5,4,Enrolled
ENR_000221,100039,STA102,STA102,Spring 2026,1,BCOM1.2,90.6,3.62,4,Enrolled
ENR_000222,100039,BIT114,BIT114,Spring 2026,1,BCOM1.2,71.2,2.85,3,Enrolled
ENR_000223,100039,MAT102,MAT102,Spring 2026,1,BCOM1.2,76.2,3.05,4,Enrolled
ENR_000224,100039,COM112,COM112,Spring 2026,1,BCOM1.2,67.4,2.7,3,Enrolled
ENR_000225,100039,BUS102,BUS102,Spring 2026,1,BCOM1.2,73.2,2.93,3,Enrolled
ENR_000226,100040,MKT202,MKT202,Spring 2026,2,BCOM2.2,81.8,3.27,3,Enrolled
ENR_000227,100040,BIT211,BIT211,Spring 2026,2,BCOM2.2,70.5,2.82,4,Enrolled
ENR_000228,100040,ACC202,ACC202,Spring 2026,2,BCOM2.2,80.9,3.23,4,Enrolled
ENR_000229,100040,BIT212,BIT212,Spring 2026,2,BCOM2.2,83.4,3.34,4,Enrolled
ENR_000230,100040,BIT213,BIT213,Spring 2026,2,BCOM2.2,82.5,3.3,3,Enrolled
ENR_000231,100040,FIN202,FIN202,Spring 2026,2,BCOM2.2,73.4,2.94,4,Enrolled
ENR_000232,100040,ENT201,ENT201,Spring 2026,2,BCOM2.2,71.7,2.87,3,Enrolled
ENR_000233,100041,BUS412,BUS412,Spring 2026,4,BCOM4.2,85.6,3.43,4,Enrolled
ENR_000234,100041,BIT411,BIT411,Spring 2026,4,BCOM4.2,88.1,3.52,4,Enrolled
ENR_000235,100041,MKT401,MKT401,Spring 2026,4,BCOM4.2,80.3,3.21,3,Enrolled
ENR_000236,100041,BIT412,BIT412,Spring 2026,4,BCOM4.2,80.9,3.24,3,Enrolled
ENR_000237,100042,ACC102,ACC102,Spring 2026,1,BFS1.2,85.0,3.4,4,Enrolled
ENR_000238,100042,ECO102,ECO102,Spring 2026,1,BFS1.2,87.3,3.49,3,Enrolled
ENR_000239,100042,MAT112,MAT112,Spring 2026,1,BFS1.2,73.2,2.93,3,Enrolled
ENR_000240,100042,COM112,COM112,Spring 2026,1,BFS1.2,83.9,3.36,3,Enrolled
ENR_000241,100042,LAW111,LAW111,Spring 2026,1,BFS1.2,91.7,3.67,3,Enrolled
ENR_000242,100042,BUS102,BUS102,Spring 2026,1,BFS1.2,34.9,1.39,3,Enrolled
ENR_000243,100043,ECO101,ECO101,Spring 2026,1,BCOM1.1,73.7,2.95,3,Enrolled
ENR_000244,100043,BIT106,BIT106,Spring 2026,1,BCOM1.1,65.7,2.63,3,Enrolled
ENR_000245,100043,LAW102,LAW102,Spring 2026,1,BCOM1.1,75.6,3.02,3,Enrolled
ENR_000246,100043,BIT102,BIT102,Spring 2026,1,BCOM1.1,93.8,3.75,3,Enrolled
ENR_000247,100043,MAT111,MAT111,Spring 2026,1,BCOM1.1,81.0,3.24,3,Enrolled
ENR_000248,100043,BIT103,BIT103,Spring 2026,1,BCOM1.1,72.6,2.9,3,Enrolled
ENR_000249,100043,PSY101,PSY101,Spring 2026,1,BCOM1.1,57.9,2.32,3,Enrolled
ENR_000250,100044,BIT211,BIT211,Spring 2026,2,BCOM2.2,77.5,3.1,4,Enrolled
ENR_000251,100044,ENT201,ENT201,Spring 2026,2,BCOM2.2,40.3,1.61,3,Enrolled
ENR_000252,100044,MKT202,MKT202,Spring 2026,2,BCOM2.2,91.3,3.65,3,Enrolled
ENR_000253,100044,BIT214,BIT214,Spring 2026,2,BCOM2.2,80.3,3.21,3,Enrolled
ENR_000254,100044,BIT213,BIT213,Spring 2026,2,BCOM2.2,78.0,3.12,3,Enrolled
ENR_000255,100044,BUS202,BUS202,Spring 2026,2,BCOM2.2,73.8,2.95,3,Enrolled
ENR_000256,100044,FIN202,FIN202,Spring 2026,2,BCOM2.2,72.6,2.9,4,Enrolled
ENR_000257,100045,OMG201,OMG201,Spring 2026,2,BCOM2.1,33.1,1.32,3,Enrolled
ENR_000258,100045,FIN201,FIN201,Spring 2026,2,BCOM2.1,78.8,3.15,4,Enrolled
ENR_000259,100045,BUS201,BUS201,Spring 2026,2,BCOM2.1,83.2,3.33,3,Enrolled
ENR_000260,100045,ACC201,ACC201,Spring 2026,2,BCOM2.1,83.5,3.34,4,Enrolled
ENR_000261,100045,HRM201,HRM201,Spring 2026,2,BCOM2.1,88.5,3.54,3,Enrolled
ENR_000262,100045,MKT201,MKT201,Spring 2026,2,BCOM2.1,69.1,2.77,3,Enrolled
ENR_000263,100046,MKT201,MKT201,Spring 2026,2,BCOM2.1,60.1,2.4,3,Enrolled
ENR_000264,100046,OMG201,OMG201,Spring 2026,2,BCOM2.1,70.3,2.81,3,Enrolled
