attendance_rate,engagement_score,assignment_completion_rate,avg_assignment_score,avg_grade_points,avg_login_count,time_spent_minutes,consecutive_absences,repeat_courses,forum_posts,late_submissions,help_requests,total_enrollments,student_id,outcome,enrollment_date,school_id,program_id,year_of_study
78.3,90.67,94.58,80.02,2.54,4.23,459.13,1,0,15,4,3,6,1016,graduated,2022-09-01,3,13,3
83.18,73.53,98.64,89.06,2.13,7.25,335.25,3,0,12,0,1,7,1017,graduated,2023-09-01,4,11,3
80.21,86.73,84.27,64.84,3.46,4.97,268.74,3,0,19,1,3,5,1018,graduated,2020-01-01,5,19,1
88.85,70.57,88.58,81.73,3.13,10.17,373.77,3,0,19,1,3,5,1019,graduated,2022-01-01,5,15,3
86.12,87.71,96.36,86.45,4.0,9.3,277.93,3,0,28,0,2,8,1020,graduated,2021-09-01,1,16,3
88.07,83.41,88.54,52.44,3.17,9.93,264.23,3,0,14,3,6,8,1021,graduated,2023-09-01,2,11,4
45.51,45.81,64.33,29.31,1.31,0.5,97.12,13,3,6,11,13,8,1022,dropped_out,2023-09-01,5,2,4
88.72,78.57,86.84,81.93,2.33,12.27,315.88,0,0,12,3,2,6,1023,graduated,2020-09-01,4,17,1
80.1,81.81,75.67,59.46,4.0,7.79,160.35,1,1,13,1,4,5,1024,graduated,2023-09-01,5,16,4
71.6,100.0,89.05,85.92,3.13,7.6,304.26,3,0,29,3,2,6,1025,graduated,2020-01-01,3,15,4
64.92,63.24,59.06,50.27,3.14,2.84,115.68,11,1,1,4,4,4,1026,dropped_out,2020-01-01,2,6,3
83.66,81.6,90.29,72.79,2.59,7.82,264.59,0,0,19,4,1,6,1027,graduated,2020-09-01,1,15,1
81.83,94.78,79.08,81.57,3.16,7.6,284.76,0,1,12,0,6,4,1028,graduated,2021-09-01,3,14,4
90.79,100.0,69.55,64.89,2.94,8.78,291.28,2,2,28,1,7,8,1029,graduated,2023-01-01,2,20,2
83.62,67.59,87.69,96.76,2.7,8.81,306.31,1,0,22,1,1,5,1030,graduated,2020-09-01,3,17,3
75.83,73.19,90.91,68.56,1.91,5.21,266.68,1,0,8,6,4,8,1031,active,2020-09-01,5,16,2
89.78,60.12,57.42,41.2,2.26,4.94,345.5,4,0,17,7,10,4,1032,active,2023-09-01,5,13,4
65.17,89.62,79.51,45.49,2.55,8.11,240.91,0,2,21,4,5,8,1033,graduated,2022-01-01,4,8,4
66.66,65.12,42.01,36.58,2.26,1.55,211.84,14,1,7,10,7,7,1034,dropped_out,2020-09-01,4,13,2
41.58,46.15,64.94,32.51,2.18,0.97,112.08,8,3,7,8,2,4,1035,dropped_out,2023-01-01,3,4,4
61.41,44.22,65.38,29.16,1.53,5.75,198.97,4,1,1,11,7,6,1036,dropped_out,2020-09-01,2,3,4
78.25,84.79,60.48,64.18,3.24,7.78,296.12,1,0,14,4,6,6,1037,graduated,2022-09-01,1,11,4
75.58,51.24,34.01,28.58,1.79,3.8,193.02,11,0,1,4,7,6,1038,dropped_out,2022-09-01,1,8,3
90.41,73.01,100.0,91.33,3.29,5.38,307.73,5,1,6,3,4,7,1039,active,2021-01-01,1,15,2
82.43,90.23,100.0,78.01,3.22,7.09,157.95,2,0,19,2,1,8,1040,graduated,2022-01-01,3,12,3
97.69,96.2,89.61,82.03,3.0,4.95,384.41,1,0,25,2,3,4,1041,graduated,2023-01-01,2,6,2
78.1,74.34,45.81,51.72,1.37,1.63,189.86,14,2,1,5,4,8,1042,dropped_out,2020-09-01,5,5,2
72.65,60.11,73.39,49.47,2.43,4.62,134.17,6,0,15,1,11,4,1043,active,2023-09-01,4,10,2
97.71,69.74,85.42,77.14,2.16,8.07,355.98,1,0,23,1,5,5,1044,graduated,2020-09-01,3,14,3
82.55,85.11,100.0,88.43,3.39,7.74,233.11,2,0,14,3,2,4,1045,graduated,2023-09-01,4,4,2
69.52,78.5,63.89,91.12,2.24,5.38,480.13,1,0,17,0,4,6,1046,graduated,2023-09-01,3,1,4
77.01,70.64,87.26,85.08,2.34,7.98,185.34,1,0,10,4,6,8,1047,graduated,2022-01-01,1,20,4
78.34,78.18,80.87,65.06,2.79,6.91,124.81,3,2,15,1,4,7,1048,graduated,2022-01-01,2,20,3
87.48,86.51,93.16,81.8,3.1,8.57,424.82,1,0,21,4,6,5,1049,graduated,2021-01-01,3,15,1
75.89,65.72,85.48,78.12,2.2,6.19,344.7,2,1,22,2,3,4,1050,graduated,2022-01-01,4,6,2
68.71,60.61,100.0,98.81,2.73,9.25,229.12,3,0,14,0,1,4,1051,graduated,2021-09-01,2,9,4
54.21,45.45,59.51,67.55,3.92,6.22,269.04,5,0,13,5,4,8,1052,active,2022-09-01,1,5,2
94.64,75.19,92.42,77.92,2.81,9.64,180.49,1,1,16,2,5,4,1053,graduated,2023-09-01,3,18,1
75.18,76.9,71.71,77.44,3.54,0.5,248.85,3,0,7,7,4,5,1054,active,2023-09-01,5,13,3
88.17,77.85,91.33,100.0,3.27,8.36,317.38,1,1,14,2,7,4,1055,graduated,2020-01-01,5,11,2
60.57,79.18,80.0,80.56,2.46,4.72,208.41,5,0,17,7,5,7,1056,active,2020-09-01,4,4,2
65.21,100.0,85.77,88.51,3.37,3.06,175.58,2,2,16,2,9,5,1057,active,2020-01-01,1,8,2
80.38,99.82,90.9,77.6,3.12,8.88,317.52,1,0,28,4,6,4,1058,graduated,2023-09-01,5,14,2
72.88,89.81,100.0,81.29,3.05,6.82,290.66,0,0,18,2,7,7,1059,graduated,2023-01-01,3,2,3
59.88,39.52,38.57,40.97,1.72,5.5,127.02,6,1,0,9,5,8,1060,dropped_out,2021-09-01,3,4,3
69.97,88.96,100.0,88.52,2.98,7.46,222.54,3,0,17,0,7,4,1061,graduated,2022-01-01,1,15,1
39.55,71.2,53.06,39.62,1.22,0.5,68.31,11,2,0,5,3,5,1062,dropped_out,2021-01-01,2,19,2
93.72,100.0,100.0,74.78,2.33,7.4,249.89,2,1,19,1,3,5,1063,graduated,2020-01-01,2,11,2
79.1,86.85,77.27,73.93,3.07,8.06,250.69,2,0,17,0,7,8,1064,graduated,2020-09-01,2,18,3
76.17,71.47,81.49,72.25,3.35,9.63,234.17,3,1,25,3,4,8,1065,graduated,2021-01-01,1,12,2
79.79,75.97,82.43,91.36,2.57,9.54,323.12,1,1,24,4,4,6,1066,graduated,2022-01-01,4,17,1
88.96,67.92,69.43,82.27,2.75,5.44,422.84,1,0,21,2,4,5,1067,graduated,2020-09-01,5,4,4
77.64,81.62,96.03,76.37,3.3,8.3,274.55,1,1,11,4,1,4,1068,graduated,2021-01-01,5,10,4
68.89,80.16,85.18,79.17,3.19,6.92,245.52,2,1,19,3,1,5,1069,graduated,2020-01-01,4,4,4
98.04,77.31,90.27,94.45,3.46,11.14,229.74,0,1,23,1,4,6,1070,graduated,2023-01-01,2,3,2
86.08,94.08,87.3,80.19,2.99,9.08,309.31,2,0,14,0,2,7,1071,graduated,2022-09-01,3,15,4
50.14,75.54,78.49,57.8,2.77,11.75,128.56,1,0,15,2,10,6,1072,active,2020-01-01,5,7,4
71.37,87.33,74.12,86.15,3.35,4.47,380.09,3,1,26,4,1,5,1073,graduated,2023-01-01,4,14,1
77.18,82.37,94.29,77.07,3.67,8.33,233.18,2,0,19,3,11,4,1074,active,2022-09-01,2,16,1
82.09,84.08,87.72,59.68,3.31,5.84,373.72,3,0,27,3,7,6,1075,graduated,2020-01-01,3,5,1
84.38,73.44,68.07,58.48,1.75,5.23,247.77,2,1,16,7,9,4,1076,active,2022-01-01,4,2,3
44.26,60.82,60.18,65.56,2.31,4.52,130.19,5,0,1,4,12,8,1077,dropped_out,2022-09-01,2,16,2
87.71,94.23,78.17,68.88,3.12,3.03,364.39,2,0,16,3,5,4,1078,graduated,2020-09-01,3,19,2
84.51,79.18,71.56,63.98,2.89,5.99,246.25,0,0,23,0,7,4,1079,graduated,2023-01-01,3,1,2
74.37,87.63,69.67,84.98,2.96,8.42,289.56,0,0,28,4,6,5,1080,graduated,2022-09-01,2,5,4
76.72,76.99,89.69,81.1,3.04,5.5,340.0,0,1,26,4,3,5,1081,graduated,2020-01-01,1,17,2
67.35,100.0,78.34,48.05,4.0,6.24,287.33,2,2,21,1,1,4,1082,graduated,2023-09-01,3,11,1
28.86,56.26,31.77,29.91,1.96,4.33,92.47,13,2,4,7,14,4,1083,dropped_out,2020-01-01,1,9,4
89.26,100.0,93.2,88.24,3.12,8.27,311.02,3,0,10,2,3,4,1084,graduated,2023-09-01,2,17,1
70.78,46.09,44.08,52.13,1.83,4.56,135.26,13,0,2,7,8,5,1085,dropped_out,2022-09-01,5,16,3
85.35,79.74,85.03,84.81,3.3,5.02,301.72,2,0,22,2,6,6,1086,graduated,2020-01-01,1,7,3
75.9,95.66,73.57,69.19,2.82,7.52,244.93,5,1,8,4,3,7,1087,active,2021-01-01,1,1,4
90.59,83.33,78.0,89.34,2.59,4.95,260.88,0,0,20,0,6,6,1088,graduated,2023-01-01,2,17,3
85.02,69.75,85.89,88.99,3.04,6.91,361.4,3,0,23,3,6,6,1089,graduated,2020-09-01,1,15,1
72.78,70.28,84.5,46.59,2.13,10.15,301.83,2,0,5,1,9,7,1090,active,2022-09-01,4,10,1
66.97,85.77,39.76,46.85,1.35,2.76,80.67,5,2,2,7,9,7,1091,dropped_out,2023-01-01,5,15,3
95.1,85.66,69.2,68.11,3.85,7.07,207.15,1,1,20,4,1,8,1092,graduated,2020-09-01,5,13,1
86.55,61.68,100.0,57.56,2.61,8.56,142.51,1,2,13,3,7,6,1093,active,2023-09-01,2,3,1
72.37,100.0,74.66,72.87,1.78,10.45,159.89,5,0,17,4,11,5,1094,active,2021-09-01,2,8,1
82.3,87.53,86.02,71.71,3.56,8.42,361.62,0,0,18,1,4,5,1095,graduated,2021-09-01,1,6,4
92.12,78.65,100.0,82.82,3.38,11.95,394.6,2,0,18,3,2,6,1096,graduated,2023-09-01,5,11,3
85.71,97.67,82.02,100.0,3.43,4.88,373.81,1,0,17,4,7,8,1097,graduated,2021-09-01,3,9,1
81.81,99.28,89.36,75.46,4.0,8.24,342.95,0,0,24,0,7,7,1098,graduated,2022-01-01,1,12,3
64.77,67.88,95.77,76.36,3.27,6.07,356.42,2,1,13,4,11,8,1099,active,2020-01-01,4,19,1
90.69,91.75,81.59,51.68,1.93,2.59,176.2,5,1,7,2,9,7,1100,active,2023-01-01,2,2,4
64.43,79.09,68.5,74.39,3.26,7.69,374.37,3,0,29,1,7,4,1101,graduated,2020-09-01,2,2,2
54.49,64.69,39.31,58.29,2.27,1.94,62.21,6,1,7,11,2,8,1102,dropped_out,2023-09-01,3,12,3
66.64,38.3,45.42,51.25,2.56,4.27,201.13,8,2,7,10,13,7,1103,dropped_out,2023-09-01,1,11,1
77.87,69.63,91.29,77.29,3.12,6.21,238.32,1,2,20,1,1,5,1104,graduated,2022-01-01,3,20,2
94.93,86.0,86.48,54.91,3.13,8.86,153.85,2,0,22,3,2,5,1105,graduated,2022-01-01,3,10,4
41.21,62.2,45.85,39.5,1.85,2.11,134.86,5,2,7,10,2,7,1106,dropped_out,2021-01-01,3,5,1
81.79,79.4,86.81,84.02,3.2,9.68,427.08,1,0,27,0,1,4,1107,graduated,2023-09-01,2,11,4
68.48,85.02,77.15,85.82,2.85,7.72,274.51,0,1,16,0,5,4,1108,graduated,2021-01-01,3,4,1
88.02,65.56,76.15,93.63,2.46,4.89,278.75,0,0,15,1,3,6,1109,graduated,2022-01-01,2,20,2
55.41,55.03,82.31,52.47,1.88,3.09,144.48,7,2,7,9,7,5,1110,dropped_out,2023-01-01,2,15,3
72.55,100.0,82.29,90.14,3.19,8.26,326.6,2,0,22,2,2,8,1111,graduated,2023-01-01,4,7,3
85.69,87.22,87.07,100.0,4.0,9.96,317.8,1,0,13,1,1,6,1112,graduated,2023-09-01,5,17,4
65.6,61.16,72.23,37.05,1.54,1.77,132.48,9,2,7,9,7,8,1113,dropped_out,2021-01-01,3,2,4
72.16,79.49,55.55,82.24,2.9,5.25,207.97,2,0,8,2,9,6,1114,active,2022-01-01,1,10,1
88.01,90.92,90.87,83.17,3.32,7.51,221.07,0,0,12,3,2,4,1115,graduated,2021-09-01,4,3,2
67.07,55.53,55.79,56.57,1.66,6.32,112.13,12,1,1,5,8,8,1116,dropped_out,2023-09-01,4,17,3
66.26,100.0,100.0,70.05,2.79,8.78,384.28,1,0,16,4,6,7,1117,graduated,2021-09-01,1,11,1
43.02,47.21,39.64,45.41,1.4,1.85,151.69,9,2,2,8,13,8,1118,dropped_out,2022-01-01,4,5,4
69.55,80.11,83.56,68.66,2.42,4.1,255.97,1,0,13,4,5,8,1119,graduated,2023-01-01,2,5,4
65.09,58.28,76.22,88.75,3.01,5.23,335.12,4,0,18,5,8,7,1120,active,2020-09-01,2,14,4
72.28,89.64,92.73,61.14,3.53,7.53,272.25,3,1,10,4,4,7,1121,graduated,2020-01-01,5,1,2
73.44,74.96,82.61,76.05,2.66,9.42,240.63,2,1,27,2,6,6,1122,graduated,2021-09-01,2,19,4
69.19,100.0,85.26,45.38,3.94,9.77,139.42,0,0,19,2,7,7,1123,graduated,2021-01-01,5,18,1
43.44,63.55,59.8,36.33,1.99,6.94,185.62,4,2,5,6,4,6,1124,dropped_out,2023-09-01,3,9,1
69.22,78.95,78.9,72.76,2.57,8.11,337.08,3,0,22,3,2,8,1125,graduated,2022-01-01,1,19,3
84.27,87.4,72.18,63.4,2.7,8.83,251.79,2,1,24,0,7,6,1126,graduated,2021-01-01,2,15,4
81.5,90.54,90.49,63.93,2.75,11.04,394.38,3,1,16,3,4,8,1127,graduated,2021-01-01,4,2,3
80.0,56.34,71.87,63.07,2.59,8.47,189.43,4,0,11,5,7,8,1128,active,2021-01-01,3,10,4
35.95,52.91,52.13,44.82,2.29,4.29,100.18,13,0,4,3,14,8,1129,dropped_out,2023-09-01,3,12,1
54.99,53.53,51.47,54.79,2.02,1.04,52.86,8,1,3,4,5,7,1130,dropped_out,2022-09-01,4,15,4
49.94,61.4,73.18,48.85,2.03,3.74,134.17,4,3,0,10,10,4,1131,dropped_out,2022-01-01,5,9,1
42.73,63.14,50.68,70.89,3.03,2.09,177.1,11,1,0,9,9,8,1132,dropped_out,2023-01-01,2,18,3
84.39,75.22,100.0,76.64,3.33,7.27,312.93,3,0,26,4,4,8,1133,graduated,2022-01-01,3,15,4
75.85,71.23,67.21,90.06,1.96,8.38,291.18,2,0,26,0,1,5,1134,graduated,2021-09-01,3,20,4
67.83,58.79,89.43,64.21,2.27,4.05,200.36,3,2,10,5,6,7,1135,active,2022-01-01,3,17,2
83.84,79.61,77.21,49.01,2.65,9.95,264.2,3,0,28,0,5,6,1136,graduated,2020-01-01,4,2,2
75.92,93.35,81.5,81.59,2.49,12.26,348.21,1,0,17,3,3,6,1137,graduated,2020-01-01,4,19,1
69.47,48.52,62.71,37.77,1.18,3.41,139.33,10,3,4,8,12,8,1138,dropped_out,2021-09-01,1,19,2
80.36,100.0,83.48,38.59,2.82,7.88,260.49,1,1,19,2,11,4,1139,active,2022-09-01,1,1,2
70.7,44.73,48.69,49.07,1.8,4.23,195.0,10,2,1,11,14,4,1140,dropped_out,2023-09-01,3,15,2
66.42,72.22,63.23,74.72,2.63,5.7,263.56,3,1,19,7,7,6,1141,active,2022-09-01,1,15,2
95.82,84.25,94.33,57.98,2.9,4.48,193.2,0,0,26,3,5,6,1142,graduated,2023-01-01,3,12,1
74.31,46.74,85.92,67.64,2.35,5.45,187.82,5,2,3,5,2,6,1143,dropped_out,2022-09-01,2,12,2
80.64,88.96,94.55,76.06,2.87,10.96,220.08,2,1,10,1,7,7,1144,graduated,2020-01-01,4,1,3
80.45,90.82,76.21,68.52,3.49,7.87,458.96,2,0,15,3,3,4,1145,graduated,2022-09-01,5,3,1
69.71,87.12,76.45,95.24,3.12,11.35,330.02,2,1,19,2,6,5,1146,graduated,2022-09-01,5,14,4
68.99,48.61,40.45,25.0,2.51,2.96,228.61,4,2,3,8,10,7,1147,dropped_out,2020-01-01,4,15,3
79.81,81.46,93.13,63.55,2.6,6.09,225.15,0,1,21,0,5,7,1148,graduated,2021-01-01,5,2,1
55.63,85.26,86.05,60.78,1.49,6.17,271.28,5,0,16,6,10,8,1149,active,2021-09-01,2,12,3
73.12,68.67,100.0,75.96,3.38,8.7,243.41,1,1,19,0,7,4,1150,graduated,2020-09-01,3,5,3
46.22,55.74,64.43,53.32,1.4,3.26,121.65,4,2,5,8,3,4,1151,dropped_out,2020-01-01,2,20,3
36.86,41.51,67.75,64.59,2.21,2.61,187.22,9,3,1,5,4,4,1152,dropped_out,2020-01-01,5,9,2
41.73,45.41,50.76,33.56,2.04,3.18,221.23,11,0,6,8,5,7,1153,dropped_out,2023-01-01,3,10,4
94.66,100.0,100.0,71.78,3.29,6.61,246.7,2,0,29,0,3,5,1154,graduated,2021-09-01,1,6,4
69.87,73.23,79.73,68.85,3.04,7.48,248.94,0,0,17,0,7,5,1155,graduated,2023-09-01,2,11,3
85.88,75.56,95.3,70.98,2.68,7.19,233.14,3,1,23,2,1,7,1156,graduated,2022-09-01,5,4,3
55.08,68.71,57.86,48.64,1.44,3.55,109.19,5,0,5,9,12,8,1157,dropped_out,2021-09-01,2,4,1
91.5,87.8,88.26,77.33,4.0,7.29,323.69,3,1,15,2,4,7,1158,graduated,2022-09-01,2,11,3
79.64,92.83,92.37,68.2,2.44,8.14,372.94,3,1,10,4,3,7,1159,graduated,2021-01-01,4,10,4
69.25,60.37,39.79,68.33,1.83,0.57,179.79,14,2,3,4,3,6,1160,dropped_out,2020-01-01,2,7,3
81.19,75.02,79.25,61.12,2.47,7.47,192.01,3,1,13,7,7,8,1161,active,2020-01-01,4,10,1
86.11,85.51,89.89,82.62,3.19,10.22,328.69,2,0,11,3,5,6,1162,graduated,2020-09-01,3,13,3
80.07,78.23,81.22,74.8,3.75,7.19,295.28,1,0,25,0,3,6,1163,graduated,2020-09-01,3,18,3
86.33,92.03,100.0,81.83,3.54,12.47,245.65,3,1,13,0,6,4,1164,graduated,2020-09-01,3,20,1
75.1,51.36,70.0,25.6,2.29,1.42,86.61,12,0,3,10,3,4,1165,dropped_out,2021-01-01,3,18,3
63.02,90.58,76.72,56.63,2.06,1.77,298.19,5,0,9,4,6,6,1166,active,2021-01-01,1,2,1
76.52,81.16,79.87,75.33,3.96,6.96,316.87,1,0,24,0,3,5,1167,graduated,2021-09-01,2,20,2
45.81,54.07,67.52,51.96,2.16,4.8,99.43,7,1,4,5,7,7,1168,dropped_out,2022-09-01,3,19,3
85.11,87.51,85.44,95.34,3.16,6.75,313.62,0,0,21,1,3,6,1169,graduated,2023-09-01,3,4,4
80.24,86.52,72.6,64.27,2.07,6.66,285.65,1,0,17,2,4,7,1170,graduated,2022-01-01,5,19,2
82.05,64.06,70.49,71.2,2.95,6.98,291.94,0,0,14,0,1,4,1171,graduated,2020-09-01,5,13,2
79.45,92.76,85.21,97.81,2.7,7.88,250.41,3,1,17,4,5,8,1172,graduated,2021-01-01,2,1,4
69.89,90.95,80.17,76.76,2.31,11.22,362.78,1,0,10,3,2,8,1173,graduated,2022-09-01,4,17,4
47.47,53.42,59.15,42.3,1.4,2.02,148.43,12,2,2,4,4,4,1174,dropped_out,2020-01-01,4,17,4
85.54,84.87,78.88,79.34,3.58,5.71,307.6,0,0,21,2,3,4,1175,graduated,2022-01-01,5,12,3
58.51,69.38,52.72,80.72,2.32,5.16,170.91,1,0,14,6,3,6,1176,active,2023-01-01,3,8,3
80.66,68.21,81.41,77.79,4.0,7.46,294.76,3,0,16,1,4,8,1177,graduated,2022-01-01,4,12,3
45.15,57.73,26.26,60.28,1.74,2.25,96.72,8,2,7,6,9,7,1178,dropped_out,2022-01-01,4,12,2
77.08,74.13,58.28,66.47,2.23,5.71,217.42,3,0,14,3,3,6,1179,active,2022-01-01,3,15,3
74.59,72.69,74.24,43.94,2.11,2.37,30.0,2,1,5,5,5,4,1180,active,2023-01-01,5,9,2
62.79,55.1,57.09,67.14,1.91,10.33,408.5,6,0,11,3,4,5,1181,active,2020-01-01,5,8,2
80.43,72.46,55.17,48.28,3.12,7.87,243.67,1,0,12,5,4,8,1182,active,2020-01-01,1,5,1
92.08,100.0,87.92,85.79,3.0,11.92,378.92,0,1,17,3,5,4,1183,graduated,2021-09-01,4,16,2
56.29,58.1,42.71,25.0,1.78,4.71,112.73,9,2,3,7,2,7,1184,dropped_out,2022-09-01,1,19,2
49.41,54.55,44.36,45.35,2.09,2.92,222.08,10,1,5,3,9,6,1185,dropped_out,2020-01-01,1,13,4
64.91,92.56,87.23,74.34,4.0,8.57,336.48,3,1,12,0,4,8,1186,graduated,2021-09-01,5,20,1
87.16,79.96,83.65,87.04,3.68,12.67,313.46,2,1,27,4,6,6,1187,graduated,2022-09-01,5,16,2
75.79,93.39,94.62,57.08,3.24,8.54,246.93,6,0,7,2,9,5,1188,active,2023-09-01,2,15,3
92.26,84.85,82.73,75.73,2.43,7.05,182.49,5,1,13,7,2,7,1189,active,2021-01-01,5,7,2
77.05,97.4,78.04,86.54,3.26,5.75,447.66,0,1,11,4,5,6,1190,graduated,2023-09-01,1,6,2
88.28,84.13,85.01,65.19,2.15,9.32,365.63,3,0,22,3,2,6,1191,graduated,2023-09-01,4,8,4
88.64,79.35,64.96,82.63,3.0,5.52,304.2,0,0,26,1,2,7,1192,graduated,2022-09-01,1,9,3
84.22,83.89,73.95,84.39,2.78,9.69,339.16,3,0,13,4,3,5,1193,graduated,2021-01-01,2,13,3
73.02,72.36,94.36,64.56,2.94,7.57,339.22,1,0,15,0,7,5,1194,graduated,2020-09-01,2,16,2
77.07,77.71,86.85,62.36,2.06,8.42,374.2,1,1,22,2,1,7,1195,graduated,2023-09-01,4,18,2
76.01,82.78,79.45,64.89,3.27,8.82,338.51,0,2,21,2,1,7,1196,graduated,2021-01-01,3,3,1
79.12,92.58,87.03,71.58,2.57,7.12,309.78,0,0,16,3,1,6,1197,graduated,2020-01-01,3,17,4
70.47,67.95,70.84,89.82,3.0,7.36,272.23,0,1,10,3,5,8,1198,graduated,2020-01-01,5,15,1
85.86,77.66,86.38,70.92,3.05,12.93,230.53,0,0,12,4,1,4,1199,graduated,2023-01-01,1,18,4
82.33,89.41,79.87,72.26,2.6,6.01,120.64,0,1,29,4,3,4,1200,graduated,2022-01-01,2,19,1
80.47,87.47,73.19,88.37,3.11,9.43,350.27,3,0,21,2,6,8,1201,graduated,2020-09-01,1,3,4
80.47,70.73,80.32,52.35,2.75,6.55,387.08,2,0,21,2,5,7,1202,graduated,2020-09-01,4,12,4
75.41,83.31,90.2,98.32,3.61,8.74,380.73,3,0,13,2,5,4,1203,graduated,2023-09-01,5,5,3
61.2,61.4,74.36,77.74,3.02,10.43,400.11,3,2,16,6,10,4,1204,active,2020-01-01,2,8,1
85.46,76.02,88.39,63.07,2.77,8.79,398.91,2,2,17,3,7,7,1205,graduated,2020-09-01,4,18,4
63.47,53.18,64.25,48.61,1.86,5.62,148.28,13,0,4,6,5,4,1206,dropped_out,2021-01-01,2,4,1
78.94,80.44,85.38,82.01,2.56,8.01,186.16,0,2,15,1,6,5,1207,graduated,2023-01-01,5,2,4
80.64,92.87,86.82,86.44,2.44,7.91,241.29,2,1,20,3,4,4,1208,graduated,2020-01-01,2,18,2
79.03,76.98,68.64,40.74,2.72,4.21,242.56,6,0,10,4,4,8,1209,active,2020-01-01,5,11,3
82.21,81.15,72.57,63.46,2.31,9.66,397.47,2,2,27,4,6,7,1210,graduated,2021-09-01,5,8,4
86.75,68.89,84.43,45.96,2.09,4.26,143.26,2,0,15,6,6,6,1211,active,2022-09-01,2,14,4
67.9,45.45,63.08,35.9,2.11,0.65,72.79,8,0,2,3,8,6,1212,dropped_out,2020-09-01,5,11,4
69.17,67.6,66.6,94.32,3.49,6.39,352.23,0,0,11,4,1,8,1213,graduated,2023-01-01,5,16,2
95.47,62.67,100.0,86.11,2.84,7.05,284.74,2,1,17,4,5,7,1214,graduated,2021-09-01,4,2,4
73.11,84.14,76.4,62.64,2.39,7.14,306.04,1,0,13,1,7,6,1215,graduated,2023-01-01,3,3,4
48.96,78.55,81.06,83.54,2.8,3.32,284.42,3,0,5,7,6,7,1216,active,2022-01-01,1,9,4
91.54,81.18,88.48,69.15,2.85,6.65,302.39,1,0,16,4,5,7,1217,graduated,2020-01-01,5,7,4
87.43,88.66,89.63,54.29,2.53,6.64,383.59,2,0,25,2,7,7,1218,graduated,2021-09-01,2,7,1
38.23,34.36,49.02,47.74,2.88,5.7,159.16,14,1,5,11,2,6,1219,dropped_out,2023-01-01,4,8,3
71.75,79.13,72.8,51.13,3.85,6.83,346.54,1,0,5,1,9,5,1220,active,2022-09-01,3,9,3
84.49,91.96,93.16,74.11,2.42,10.17,364.69,1,0,11,2,1,8,1221,graduated,2023-09-01,4,11,2
79.05,72.58,89.54,78.74,2.87,7.1,250.34,3,0,12,1,7,7,1222,graduated,2022-09-01,2,5,1
72.51,65.19,53.59,44.14,1.91,0.72,122.15,14,2,5,11,2,4,1223,dropped_out,2022-09-01,2,13,2
63.34,80.19,65.52,80.05,3.77,7.39,340.6,3,0,28,0,5,6,1224,graduated,2023-09-01,4,15,2
85.11,82.23,69.12,58.66,2.03,5.86,210.81,5,0,5,6,2,8,1225,active,2022-01-01,2,18,1
76.97,76.64,67.93,61.6,3.87,10.47,289.09,3,2,29,2,6,8,1226,graduated,2020-01-01,1,14,2
65.26,48.66,50.39,25.0,1.61,1.01,143.87,9,2,3,11,6,5,1227,dropped_out,2021-01-01,5,15,3
76.86,70.92,68.39,65.06,3.95,6.67,177.68,3,0,15,1,3,6,1228,graduated,2020-09-01,5,18,4
