id,student_id,week_number,year,login_count,time_spent_minutes,assignments_submitted,assignments_total,avg_assignment_score,engagement_score
71,6,11,2024,14,447,4,5,86.26,90.0
72,6,12,2024,1,144,0,5,40.46,1.67
73,7,1,2024,15,565,5,5,85.57,100.0
74,7,2,2024,20,396,4,5,96.04,100.0
75,7,3,2024,6,242,4,5,70.86,76.67
76,7,4,2024,17,597,4,5,82.34,95.0
77,7,5,2024,7,213,2,5,71.96,45.0
78,7,6,2024,7,196,4,5,76.19,78.33
79,7,7,2024,16,547,5,5,98.65,100.0
80,7,8,2024,15,374,5,5,92.12,100.0
81,7,9,2024,16,581,5,5,80.07,100.0
82,7,10,2024,14,553,5,5,98.7,100.0
83,7,11,2024,14,561,5,5,83.98,100.0
84,7,12,2024,16,550,4,5,89.53,93.33
85,8,1,2024,11,371,4,5,82.46,85.0
86,8,2,2024,5,160,2,5,65.55,41.67
87,8,3,2024,14,365,4,5,98.51,90.0
88,8,4,2024,6,160,4,5,71.33,76.67
89,8,5,2024,15,441,5,5,88.6,100.0
90,8,6,2024,19,592,5,5,98.56,100.0
91,8,7,2024,13,377,4,5,91.07,88.33
92,8,8,2024,13,387,5,5,84.06,100.0
93,8,9,2024,6,173,4,5,74.81,76.67
94,8,10,2024,2,124,0,5,32.87,3.33
95,8,11,2024,6,211,3,5,72.19,60.0
96,8,12,2024,6,221,2,5,60.06,43.33
97,9,1,2024,8,298,4,5,76.99,80.0
98,9,2,2024,13,351,4,5,88.17,88.33
99,9,3,2024,12,496,5,5,80.46,100.0
100,9,4,2024,6,275,3,5,75.79,60.0
101,9,5,2024,15,310,5,5,90.15,100.0
102,9,6,2024,17,405,5,5,82.89,100.0
103,9,7,2024,20,493,4,5,95.76,100.0
104,9,8,2024,15,480,5,5,85.48,100.0
105,9,9,2024,6,247,4,5,77.55,76.67
106,9,10,2024,5,144,0,5,49.36,8.33
107,9,11,2024,10,499,5,5,87.19,100.0
108,9,12,2024,16,528,5,5,81.79,100.0
109,10,1,2024,13,437,5,5,98.23,100.0
110,10,2,2024,12,386,4,5,97.07,86.67
111,10,3,2024,9,285,2,5,76.92,48.33
112,10,4,2024,2,12,0,5,32.7,3.33
113,10,5,2024,0,141,0,5,37.51,0.0
114,10,6,2024,14,531,4,5,85.86,90.0
115,10,7,2024,7,197,2,5,68.19,45.0
116,10,8,2024,11,418,4,5,92.42,85.0
117,10,9,2024,12,447,5,5,98.84,100.0
118,10,10,2024,6,154,2,5,72.05,43.33
119,10,11,2024,11,437,4,5,90.68,85.0
120,10,12,2024,9,244,4,5,63.58,81.67
121,11,1,2024,12,425,4,5,86.51,86.67
122,11,2,2024,14,562,4,5,90.02,90.0
123,11,3,2024,8,184,2,5,60.97,46.67
124,11,4,2024,12,423,5,5,91.48,100.0
125,11,5,2024,13,532,4,5,94.2,88.33
126,11,6,2024,6,160,2,5,79.66,43.33
127,11,7,2024,14,535,5,5,93.55,100.0
128,11,8,2024,18,506,5,5,99.24,100.0
129,11,9,2024,2,147,2,5,55.13,36.67
130,11,10,2024,14,568,5,5,83.34,100.0
131,11,11,2024,6,159,2,5,61.47,43.33
132,11,12,2024,2,29,2,5,57.12,36.67
133,12,1,2024,14,491,4,5,86.29,90.0
134,12,2,2024,10,410,5,5,95.5,100.0
135,12,3,2024,8,185,4,5,75.88,80.0
136,12,4,2024,12,308,4,5,98.07,86.67
137,12,5,2024,16,538,5,5,87.43,100.0
138,12,6,2024,12,512,4,5,84.91,86.67
139,12,7,2024,20,351,5,5,87.48,100.0
140,12,8,2024,16,521,4,5,91.96,93.33
141,12,9,2024,18,582,5,5,80.81,100.0
142,12,10,2024,3,17,1,5,39.94,21.67
143,12,11,2024,18,384,4,5,99.84,96.67
144,12,12,2024,18,438,4,5,80.49,96.67
145,13,1,2024,18,490,4,5,88.97,96.67
146,13,2,2024,19,535,5,5,92.44,100.0
147,13,3,2024,10,564,4,5,97.67,83.33
148,13,4,2024,8,281,2,5,73.33,46.67
149,13,5,2024,19,559,4,5,99.97,98.33
150,13,6,2024,16,469,5,5,94.63,100.0
151,13,7,2024,6,186,2,5,61.86,43.33
152,13,8,2024,16,412,4,5,80.88,93.33
153,13,9,2024,12,399,5,5,91.39,100.0
154,13,10,2024,12,518,5,5,99.81,100.0
155,13,11,2024,11,383,4,5,85.31,85.0
156,13,12,2024,11,412,5,5,98.3,100.0
157,14,1,2024,20,552,4,5,81.6,100.0
158,14,2,2024,15,490,5,5,99.11,100.0
159,14,3,2024,18,580,5,5,92.63,100.0
160,14,4,2024,12,566,5,5,96.12,100.0
161,14,5,2024,6,207,2,5,68.68,43.33
162,14,6,2024,18,453,5,5,99.46,100.0
163,14,7,2024,0,76,1,5,33.19,16.67
164,14,8,2024,13,412,4,5,89.29,88.33
165,14,9,2024,11,577,5,5,88.25,100.0
166,14,10,2024,19,469,5,5,81.62,100.0
167,14,11,2024,17,333,5,5,98.52,100.0
168,14,12,2024,16,521,4,5,88.28,93.33
169,15,1,2024,2,94,0,5,39.24,3.33
170,15,2,2024,17,502,4,5,88.11,95.0
171,15,3,2024,7,212,4,5,76.09,78.33
172,15,4,2024,19,467,5,5,97.06,100.0
173,15,5,2024,11,304,4,5,90.81,85.0
174,15,6,2024,11,377,4,5,80.04,85.0
175,15,7,2024,12,449,5,5,93.57,100.0
176,15,8,2024,5,91,2,5,47.16,41.67
177,15,9,2024,14,469,4,5,80.78,90.0
178,15,10,2024,10,300,4,5,95.79,83.33
179,15,11,2024,8,177,3,5,71.87,63.33
180,15,12,2024,9,168,4,5,65.69,81.67
181,16,1,2024,19,433,4,5,92.87,98.33
182,16,2,2024,5,277,4,5,64.48,75.0
183,16,3,2024,16,473,4,5,93.9,93.33
184,16,4,2024,7,280,3,5,65.87,61.67
185,16,5,2024,8,257,2,5,75.89,46.67
186,16,6,2024,10,233,2,5,64.81,50.0
187,16,7,2024,12,318,4,5,81.17,86.67
188,16,8,2024,6,177,3,5,62.52,60.0
189,16,9,2024,7,235,4,5,66.4,78.33
190,16,10,2024,17,522,5,5,82.45,100.0
191,16,11,2024,10,291,4,5,71.75,83.33
192,16,12,2024,1,121,2,5,31.02,35.0
193,17,1,2024,13,476,4,5,80.98,88.33
194,17,2,2024,7,249,2,5,76.25,45.0
195,17,3,2024,16,465,5,5,82.66,100.0
196,17,4,2024,16,461,4,5,80.15,93.33
197,17,5,2024,7,256,2,5,69.74,45.0
198,17,6,2024,1,10,0,5,37.2,1.67
199,17,7,2024,7,201,4,5,63.61,78.33
200,17,8,2024,10,484,5,5,96.0,100.0
201,17,9,2024,10,353,5,5,95.43,100.0
202,17,10,2024,1,54,0,5,39.98,1.67
203,17,11,2024,10,279,3,5,70.62,66.67
204,17,12,2024,9,200,3,5,75.39,65.0
205,18,1,2024,5,266,4,5,71.82,75.0
206,18,2,2024,17,322,5,5,86.65,100.0
207,18,3,2024,20,332,5,5,96.59,100.0
208,18,4,2024,17,592,4,5,98.46,95.0
209,18,5,2024,6,265,3,5,66.01,60.0
210,18,6,2024,5,208,4,5,78.09,75.0
211,18,7,2024,14,302,4,5,80.81,90.0
212,18,8,2024,3,61,1,5,30.07,21.67
213,18,9,2024,11,440,5,5,80.33,100.0
214,18,10,2024,10,228,4,5,73.27,83.33
215,18,11,2024,19,409,5,5,95.59,100.0
216,18,12,2024,8,293,4,5,66.57,80.0
217,19,1,2024,13,307,5,5,81.59,100.0
218,19,2,2024,8,155,2,5,62.6,46.67
219,19,3,2024,7,193,4,5,65.85,78.33
220,19,4,2024,12,518,4,5,94.58,86.67
221,19,5,2024,14,458,4,5,81.52,90.0
222,19,6,2024,11,301,4,5,81.32,85.0
223,19,7,2024,7,195,2,5,75.3,45.0
224,19,8,2024,18,573,5,5,90.22,100.0
225,19,9,2024,19,442,4,5,87.13,98.33
226,19,10,2024,12,498,4,5,90.91,86.67
227,19,11,2024,10,344,4,5,83.25,83.33
228,19,12,2024,18,573,4,5,89.57,96.67
229,20,1,2024,5,89,0,5,40.21,8.33
230,20,2,2024,16,353,5,5,84.25,100.0
231,20,3,2024,20,547,4,5,99.52,100.0
232,20,4,2024,10,276,4,5,75.42,83.33
233,20,5,2024,20,488,4,5,98.0,100.0
234,20,6,2024,13,301,5,5,80.34,100.0
235,20,7,2024,7,236,3,5,74.99,61.67
236,20,8,2024,15,537,4,5,82.68,91.67
237,20,9,2024,18,587,4,5,91.86,96.67
238,20,10,2024,18,582,5,5,82.4,100.0
239,20,11,2024,10,231,2,5,66.24,50.0
240,20,12,2024,7,159,2,5,61.1,45.0
241,21,1,2024,12,432,5,5,99.99,100.0
242,21,2,2024,16,338,5,5,81.5,100.0
243,21,3,2024,14,508,4,5,80.52,90.0
244,21,4,2024,12,347,4,5,98.63,86.67
245,21,5,2024,5,242,2,5,61.9,41.67
246,21,6,2024,15,462,4,5,83.65,91.67
247,21,7,2024,11,418,4,5,85.53,85.0
248,21,8,2024,9,288,2,5,76.23,48.33
249,21,9,2024,19,579,5,5,98.13,100.0
250,21,10,2024,5,253,2,5,66.24,41.67
251,21,11,2024,5,235,3,5,74.82,58.33
252,21,12,2024,11,302,4,5,97.83,85.0
253,22,1,2024,15,507,4,5,85.29,91.67
254,22,2,2024,18,426,4,5,86.68,96.67
255,22,3,2024,19,353,4,5,89.41,98.33
256,22,4,2024,6,193,4,5,79.15,76.67
257,22,5,2024,9,211,3,5,60.11,65.0
258,22,6,2024,14,595,4,5,89.85,90.0
259,22,7,2024,16,408,5,5,83.85,100.0
260,22,8,2024,15,369,5,5,99.47,100.0
261,22,9,2024,19,447,5,5,84.98,100.0
262,22,10,2024,5,257,3,5,72.97,58.33
263,22,11,2024,11,507,4,5,94.94,85.0
264,22,12,2024,9,197,4,5,71.6,81.67
265,23,1,2024,1,33,2,5,31.21,35.0
266,23,2,2024,5,11,2,5,32.17,41.67
267,23,3,2024,13,441,4,5,91.49,88.33
268,23,4,2024,10,178,4,5,60.28,83.33
269,23,5,2024,13,528,4,5,82.94,88.33
270,23,6,2024,5,244,3,5,79.55,58.33
271,23,7,2024,18,440,5,5,93.26,100.0
272,23,8,2024,6,202,3,5,67.06,60.0
273,23,9,2024,10,212,3,5,69.78,66.67
274,23,10,2024,10,429,4,5,88.67,83.33
275,23,11,2024,10,534,5,5,84.08,100.0
276,23,12,2024,14,372,5,5,85.59,100.0
277,24,1,2024,10,542,4,5,91.73,83.33
278,24,2,2024,20,414,5,5,84.02,100.0
279,24,3,2024,8,249,3,5,63.21,63.33
280,24,4,2024,12,308,4,5,92.9,86.67
281,24,5,2024,18,560,4,5,82.2,96.67
282,24,6,2024,9,215,4,5,61.98,81.67
283,24,7,2024,9,229,4,5,68.07,81.67
284,24,8,2024,11,423,5,5,85.04,100.0
285,24,9,2024,20,584,4,5,92.55,100.0
286,24,10,2024,0,38,0,5,39.82,0.0
287,24,11,2024,9,257,4,5,66.83,81.67
288,24,12,2024,12,355,5,5,94.42,100.0
289,25,1,2024,14,600,4,5,92.58,90.0
290,25,2,2024,9,294,4,5,67.14,81.67
291,25,3,2024,19,400,4,5,86.49,98.33
292,25,4,2024,7,270,2,5,70.65,45.0
293,25,5,2024,16,587,4,5,93.79,93.33
294,25,6,2024,12,418,5,5,97.33,100.0
295,25,7,2024,16,573,4,5,82.05,93.33
296,25,8,2024,4,112,2,5,34.07,40.0
297,25,9,2024,6,244,2,5,60.73,43.33
298,25,10,2024,19,509,4,5,99.83,98.33
299,25,11,2024,8,203,2,5,66.82,46.67
300,25,12,2024,11,347,5,5,95.82,100.0
301,26,1,2024,20,423,4,5,89.52,100.0
302,26,2,2024,12,303,5,5,96.34,100.0
303,26,3,2024,16,469,4,5,81.77,93.33
304,26,4,2024,19,442,4,5,88.54,98.33
305,26,5,2024,15,531,4,5,80.54,91.67
306,26,6,2024,20,592,4,5,93.35,100.0
307,26,7,2024,12,419,4,5,94.65,86.67
308,26,8,2024,13,401,4,5,85.9,88.33
309,26,9,2024,17,415,4,5,80.63,95.0
310,26,10,2024,10,202,3,5,72.54,66.67
311,26,11,2024,7,260,2,5,73.76,45.0
312,26,12,2024,6,271,3,5,60.15,60.0
313,27,1,2024,18,389,5,5,82.17,100.0
314,27,2,2024,6,168,2,5,68.3,43.33
315,27,3,2024,12,436,5,5,97.73,100.0
316,27,4,2024,19,572,4,5,99.07,98.33
317,27,5,2024,19,527,5,5,86.31,100.0
318,27,6,2024,10,155,2,5,68.12,50.0
319,27,7,2024,18,538,4,5,97.49,96.67
320,27,8,2024,12,327,4,5,94.74,86.67
321,27,9,2024,11,586,5,5,87.89,100.0
322,27,10,2024,10,184,2,5,70.36,50.0
323,27,11,2024,13,364,4,5,98.16,88.33
324,27,12,2024,19,578,4,5,84.83,98.33
325,28,1,2024,15,568,4,5,85.19,91.67
326,28,2,2024,12,391,4,5,88.55,86.67
327,28,3,2024,6,185,2,5,73.98,43.33
328,28,4,2024,12,526,4,5,88.44,86.67
329,28,5,2024,5,232,3,5,63.29,58.33
330,28,6,2024,15,315,4,5,95.31,91.67
331,28,7,2024,10,156,4,5,60.61,83.33
332,28,8,2024,20,599,4,5,81.65,100.0
333,28,9,2024,11,524,5,5,81.14,100.0
334,28,10,2024,9,156,4,5,63.0,81.67
335,28,11,2024,16,358,5,5,95.05,100.0
336,28,12,2024,11,579,4,5,92.01,85.0
337,29,1,2024,17,447,5,5,90.44,100.0
338,29,2,2024,6,194,3,5,70.03,60.0
339,29,3,2024,7,247,3,5,60.81,61.67
340,29,4,2024,10,322,4,5,80.06,83.33
341,29,5,2024,13,493,5,5,92.73,100.0
342,29,6,2024,18,440,4,5,88.1,96.67
343,29,7,2024,13,511,4,5,95.95,88.33
344,29,8,2024,15,489,4,5,87.32,91.67
345,29,9,2024,9,246,4,5,60.84,81.67
346,29,10,2024,10,270,2,5,68.13,50.0
347,29,11,2024,19,585,5,5,92.36,100.0
348,29,12,2024,5,284,2,5,62.52,41.67
349,30,1,2024,10,362,5,5,85.06,100.0
350,30,2,2024,18,570,4,5,85.23,96.67
351,30,3,2024,10,195,4,5,78.97,83.33
352,30,4,2024,13,564,4,5,87.56,88.33
353,30,5,2024,9,166,3,5,65.36,65.0
354,30,6,2024,11,372,5,5,92.38,100.0
355,30,7,2024,12,567,5,5,88.15,100.0
356,30,8,2024,13,514,4,5,87.37,88.33
357,30,9,2024,9,260,2,5,62.08,48.33
358,30,10,2024,2,21,1,5,56.2,20.0
359,30,11,2024,7,249,2,5,67.09,45.0
360,30,12,2024,7,160,2,5,68.07,45.0
361,31,1,2024,20,488,5,5,90.87,100.0
362,31,2,2024,13,311,4,5,89.4,88.33
363,31,3,2024,14,448,4,5,95.44,90.0
364,31,4,2024,7,211,4,5,73.95,78.33
365,31,5,2024,14,469,4,5,89.31,90.0
366,31,6,2024,5,237,2,5,65.79,41.67
367,31,7,2024,7,211,2,5,78.33,45.0
368,31,8,2024,15,399,5,5,91.74,100.0
369,31,9,2024,5,251,4,5,64.44,75.0
370,31,10,2024,11,346,4,5,94.23,85.0
371,31,11,2024,17,363,4,5,92.13,95.0
372,31,12,2024,19,346,4,5,89.85,98.33
373,32,1,2024,20,465,4,5,80.78,100.0
374,32,2,2024,10,339,4,5,98.36,83.33
375,32,3,2024,9,277,3,5,79.83,65.0
376,32,4,2024,18,508,4,5,80.21,96.67
377,32,5,2024,10,315,4,5,86.69,83.33
378,32,6,2024,18,365,4,5,84.89,96.67
379,32,7,2024,17,554,5,5,94.59,100.0
380,32,8,2024,9,180,4,5,78.16,81.67
381,32,9,2024,4,54,1,5,41.04,23.33
382,32,10,2024,6,164,2,5,66.22,43.33
383,32,11,2024,11,569,5,5,82.18,100.0
384,32,12,2024,13,503,5,5,86.86,100.0
385,33,1,2024,12,508,4,5,83.41,86.67
386,33,2,2024,6,279,2,5,61.47,43.33
387,33,3,2024,15,472,5,5,81.53,100.0
388,33,4,2024,10,450,4,5,90.39,83.33
389,33,5,2024,10,487,4,5,95.56,83.33
390,33,6,2024,17,502,5,5,88.71,100.0
391,33,7,2024,5,282,4,5,61.92,75.0
392,33,8,2024,8,154,2,5,78.88,46.67
393,33,9,2024,5,283,2,5,67.23,41.67
394,33,10,2024,19,345,4,5,87.73,98.33
395,33,11,2024,5,232,4,5,64.26,75.0
396,33,12,2024,1,65,1,5,40.67,18.33
397,34,1,2024,9,290,2,5,68.72,48.33
398,34,2,2024,20,548,5,5,95.26,100.0
399,34,3,2024,6,203,4,5,76.63,76.67
400,34,4,2024,10,359,4,5,86.08,83.33
401,34,5,2024,18,529,4,5,86.85,96.67
402,34,6,2024,20,581,4,5,88.15,100.0
403,34,7,2024,20,491,4,5,81.07,100.0
404,34,8,2024,8,154,4,5,76.45,80.0
405,34,9,2024,19,597,4,5,96.07,98.33
406,34,10,2024,12,308,5,5,99.84,100.0
407,34,11,2024,12,506,5,5,95.33,100.0
408,34,12,2024,16,451,5,5,81.79,100.0
409,35,1,2024,12,574,5,5,91.59,100.0
410,35,2,2024,9,213,2,5,66.61,48.33
411,35,3,2024,10,556,5,5,91.39,100.0
412,35,4,2024,6,194,2,5,62.17,43.33
413,35,5,2024,6,225,2,5,75.53,43.33
414,35,6,2024,19,586,4,5,88.16,98.33
415,35,7,2024,9,271,2,5,67.96,48.33
416,35,8,2024,16,315,5,5,83.48,100.0
417,35,9,2024,18,416,4,5,86.52,96.67
418,35,10,2024,7,212,4,5,62.77,78.33
419,35,11,2024,5,222,2,5,77.95,41.67
420,35,12,2024,5,30,0,5,57.07,8.33
421,36,1,2024,16,474,4,5,90.99,93.33
422,36,2,2024,6,253,4,5,75.26,76.67
423,36,3,2024,12,522,5,5,81.87,100.0
424,36,4,2024,19,493,5,5,88.14,100.0
425,36,5,2024,13,307,5,5,96.17,100.0
426,36,6,2024,20,374,4,5,96.14,100.0
427,36,7,2024,15,361,5,5,96.87,100.0
428,36,8,2024,8,288,2,5,64.81,46.67
429,36,9,2024,7,280,3,5,72.52,61.67
430,36,10,2024,10,384,5,5,95.05,100.0
431,36,11,2024,20,563,5,5,92.01,100.0
432,36,12,2024,3,16,0,5,33.5,5.0
433,37,1,2024,3,128,0,5,32.25,5.0
434,37,2,2024,9,235,2,5,60.96,48.33
435,37,3,2024,18,328,5,5,81.6,100.0
436,37,4,2024,5,232,2,5,69.06,41.67
437,37,5,2024,10,283,2,5,77.44,50.0
438,37,6,2024,5,105,2,5,34.31,41.67
439,37,7,2024,6,221,3,5,60.34,60.0
440,37,8,2024,17,444,5,5,83.25,100.0
441,37,9,2024,8,185,4,5,68.06,80.0
442,37,10,2024,10,183,4,5,62.74,83.33
443,37,11,2024,11,551,5,5,98.46,100.0
444,37,12,2024,1,144,2,5,57.97,35.0
445,38,1,2024,14,311,5,5,98.73,100.0
446,38,2,2024,7,167,2,5,63.97,45.0
447,38,3,2024,11,367,5,5,87.16,100.0
448,38,4,2024,1,88,1,5,33.26,18.33
449,38,5,2024,11,537,4,5,84.1,85.0
450,38,6,2024,1,26,0,5,48.09,1.67
451,38,7,2024,11,412,5,5,84.76,100.0
452,38,8,2024,20,462,4,5,89.35,100.0
453,38,9,2024,15,492,4,5,83.81,91.67
454,38,10,2024,20,579,5,5,86.14,100.0
455,38,11,2024,12,596,5,5,80.96,100.0
456,38,12,2024,7,280,2,5,79.46,45.0
457,39,1,2024,14,445,4,5,84.73,90.0
458,39,2,2024,14,352,5,5,89.41,100.0
459,39,3,2024,12,537,5,5,93.35,100.0
460,39,4,2024,12,338,4,5,96.68,86.67
461,39,5,2024,8,300,4,5,76.55,80.0
462,39,6,2024,13,433,5,5,83.43,100.0
463,39,7,2024,17,524,4,5,95.16,95.0
464,39,8,2024,6,288,2,5,77.53,43.33
465,39,9,2024,6,289,4,5,79.92,76.67
466,39,10,2024,15,417,5,5,99.2,100.0
467,39,11,2024,19,578,5,5,88.06,100.0
468,39,12,2024,0,116,1,5,51.0,16.67
469,40,1,2024,17,420,5,5,90.37,100.0
470,40,2,2024,5,243,2,5,67.52,41.67
471,40,3,2024,20,387,4,5,84.48,100.0
472,40,4,2024,20,381,4,5,99.84,100.0
473,40,5,2024,10,243,2,5,75.55,50.0
474,40,6,2024,17,353,5,5,88.1,100.0
475,40,7,2024,11,567,4,5,81.46,85.0
476,40,8,2024,15,590,5,5,99.38,100.0
477,40,9,2024,5,292,4,5,70.69,75.0
478,40,10,2024,6,260,4,5,72.18,76.67
479,40,11,2024,18,308,4,5,82.54,96.67
480,40,12,2024,2,8,2,5,50.75,36.67
481,41,1,2024,18,521,5,5,90.15,100.0
482,41,2,2024,12,452,5,5,96.92,100.0
483,41,3,2024,9,166,4,5,61.68,81.67
484,41,4,2024,20,579,5,5,99.25,100.0
485,41,5,2024,5,262,2,5,67.14,41.67
486,41,6,2024,18,505,5,5,87.81,100.0
487,41,7,2024,20,395,4,5,98.68,100.0
488,41,8,2024,16,339,4,5,94.39,93.33
489,41,9,2024,8,276,4,5,70.64,80.0
490,41,10,2024,12,594,5,5,90.12,100.0
491,41,11,2024,6,183,3,5,70.32,60.0
492,41,12,2024,10,572,5,5,93.63,100.0
493,42,1,2024,20,395,4,5,87.37,100.0
494,42,2,2024,5,242,3,5,67.62,58.33
495,42,3,2024,10,266,4,5,60.77,83.33
496,42,4,2024,6,221,4,5,63.52,76.67
497,42,5,2024,7,218,3,5,63.65,61.67
498,42,6,2024,17,501,4,5,82.81,95.0
499,42,7,2024,9,225,2,5,72.77,48.33
500,42,8,2024,6,286,4,5,71.52,76.67
501,42,9,2024,16,413,4,5,90.92,93.33
502,42,10,2024,4,26,1,5,42.15,23.33
503,42,11,2024,20,467,4,5,90.66,100.0
504,42,12,2024,17,391,5,5,87.78,100.0
505,43,1,2024,1,103,2,5,36.65,35.0
506,43,2,2024,7,285,4,5,75.63,78.33
507,43,3,2024,13,558,4,5,91.2,88.33
508,43,4,2024,15,313,5,5,90.38,100.0
509,43,5,2024,4,83,0,5,48.3,6.67
510,43,6,2024,10,223,3,5,64.48,66.67
511,43,7,2024,20,361,4,5,98.53,100.0
512,43,8,2024,17,547,4,5,80.94,95.0
513,43,9,2024,15,597,4,5,85.38,91.67
514,43,10,2024,15,407,5,5,86.15,100.0
515,43,11,2024,17,355,5,5,96.55,100.0
516,43,12,2024,13,388,5,5,92.39,100.0
517,44,1,2024,16,543,4,5,84.76,93.33
518,44,2,2024,15,323,4,5,99.2,91.67
519,44,3,2024,12,355,5,5,99.01,100.0
520,44,4,2024,5,240,2,5,69.13,41.67
521,44,5,2024,5,284,3,5,71.23,58.33
522,44,6,2024,6,272,2,5,65.43,43.33
523,44,7,2024,18,569,5,5,88.04,100.0
524,44,8,2024,7,292,3,5,68.32,61.67
525,44,9,2024,4,129,1,5,53.77,23.33
526,44,10,2024,17,443,5,5,97.25,100.0
527,44,11,2024,15,561,5,5,99.66,100.0
528,44,12,2024,7,288,4,5,66.79,78.33
529,45,1,2024,15,462,5,5,83.56,100.0
530,45,2,2024,19,360,4,5,96.25,98.33
531,45,3,2024,15,313,4,5,98.65,91.67
532,45,4,2024,10,321,4,5,96.03,83.33
533,45,5,2024,13,600,4,5,81.45,88.33
534,45,6,2024,20,359,5,5,97.37,100.0
535,45,7,2024,10,465,5,5,89.61,100.0
536,45,8,2024,20,517,4,5,93.64,100.0
537,45,9,2024,14,566,5,5,87.72,100.0
538,45,10,2024,10,275,2,5,69.99,50.0
539,45,11,2024,6,258,3,5,77.98,60.0
540,45,12,2024,10,224,4,5,68.27,83.33
541,46,1,2024,6,243,4,5,79.7,76.67
542,46,2,2024,7,223,2,5,78.99,45.0
543,46,3,2024,13,388,4,5,94.74,88.33
544,46,4,2024,11,364,4,5,92.13,85.0
545,46,5,2024,10,151,4,5,66.1,83.33
546,46,6,2024,16,304,4,5,90.39,93.33
547,46,7,2024,17,381,4,5,94.35,95.0
548,46,8,2024,10,572,4,5,95.34,83.33
549,46,9,2024,11,533,4,5,95.74,85.0
550,46,10,2024,8,268,3,5,65.21,63.33
551,46,11,2024,4,68,1,5,34.07,23.33
552,46,12,2024,19,316,5,5,82.85,100.0
553,47,1,2024,20,532,5,5,97.99,100.0
554,47,2,2024,11,500,4,5,90.99,85.0
555,47,3,2024,17,361,5,5,83.51,100.0
